quarter_end,zscore,valid,error,diagnostic,model,api_payload,X1_WC/TA,X2_RE/TA,X3_EBIT/TA,X4_MVE/TL,X5_S/TA
2007-09-30,13762000000.00,True,,Safe Zone,original,,0.0,0.0,0.0,0,13762000000.0
2007-12-31,16367000000.00,True,,Safe Zone,original,,0.0,0.0,0.0,0,16367000000.0
2008-03-31,14454000000.00,True,,Safe Zone,original,,0.0,0.0,0.0,0,14454000000.0
2008-06-30,15837000000.00,True,,Safe Zone,original,,0.0,0.0,0.0,0,15837000000.0
2008-09-30,34857700000.00,True,,Safe Zone,original,,0.0,0.0,5999000000.0,0,15061000000.0
2008-12-31,36227700000.00,True,,Safe Zone,original,,0.0,0.0,5939000000.0,0,16629000000.0
2009-03-31,28293400000.00,True,,Safe Zone,original,,0.0,0.0,4438000000.0,0,13648000000.0
2009-06-30,1.111168806507019694946589975,True,,Distress Zone,original,,0.2856152423993426458504519310,-0.2930361544782251437962202136,0,1.684172914980886015817584224,0.1681773829087921117502054232
2009-09-30,1.372382922207939665735431065,True,,Distress Zone,original,,0.2875802578052247218546292212,-0.2583076018232612851051315983,0.05491839435377150419056021173,1.748960835972536146645101211,0.1583100524432681468411508112
2009-12-31,2.372734544676963554862599883,True,,Grey Zone,original,,0.3261060222178912492691483142,-0.2227026895342038588969011889,0.1036956733580198791658546092,2.865485025250925745468719548,0.2317043461313584096667316313
2010-03-31,1.650866894738362642798256978,True,,Distress Zone,original,,0.3308679778589094335178424214,-0.1979389942291838417147568013,0.06092333058532563891178895301,1.931814235312573548463078554,0.1708043811094099634907549170
2010-06-30,2.271202958633885303023979202,True,,Grey Zone,original,,0.3429098974603137737623819865,-0.1937105895741641796244469476,0,3.241084396410138715008262807,0.1862552692392553969783888611
2010-09-30,2.509588794245185825241651140,True,,Grey Zone,original,,0.3684072536596023596242079965,-0.1637863229189425387808608259,0.07773650863010705702425169325,3.105588781319720166823624378,0.1769171946689971597116014857
