quarter_end,zscore,valid,error,diagnostic,model,api_payload,X1_WC/TA,X2_RE/TA,X3_EBIT/TA,X4_MVE/TL,X5_S/TA
2014-09-28,-154280000.00,True,,Distress Zone,original,,0.0,-110200000.0,0.0,0,0.0
2016-12-31,372807000.00,True,,Safe Zone,original,,0.0,0.0,0.0,0,372807000.0
2017-04-01,182546000.00,True,,Safe Zone,original,,0.0,0.0,0.0,0,182546000.0
2017-07-01,169839100.00,True,,Safe Zone,original,,0.0,0.0,-16133000.0,0,223078000.0
2017-09-30,2.417751215994933786438188974,True,,Grey Zone,original,,0.1954977251137443127843607820,-0.4699940002999850007499625019,0,3.843224678025654605815560694,0.5352107394630268486575671216
2017-12-30,621650900.00,True,,Safe Zone,original,,0.0,0.0,46273000.0,0,468950000.0
2017-12-31,468950000.00,True,,Safe Zone,original,,0.0,0.0,0.0,0,468950000.0
2018-03-31,75463800.00,True,,Safe Zone,original,,0.0,0.0,-33714000.0,0,186720000.0
2018-06-30,2.409266007956829667866650167,True,,Grey Zone,original,,0.2590290149372734181315327212,-0.5030360413110914549826209371,-0.05390374864518058029874546836,4.102191655406337037751978601,0.5192490251529232954191530977
2018-09-29,3.438689055420217885154635317,True,,Safe Zone,original,,0.3425424426976772686885742590,-0.3465730947169181852533966073,0,5.080433586387434984438466002,0.4645803049542296314200218554
2018-12-29,3.316076903409545021105835344,True,,Safe Zone,original,,0.4414535708556023567678432680,-0.2232575111751438377063980648,0.1077705391436741293454086752,3.270883520847006673075517627,0.7807202423456949350882215085
2019-03-30,2.167397700885375554281832211,True,,Grey Zone,original,,0.5285673052639174513836273767,-0.2972327452465995598369231879,-0.04137893711440632103041454703,2.844420516616754713595118723,0.3791409604214020276364685933
2019-06-29,2.778670785519913657795324987,True,,Grey Zone,original,,0.4517609385045921996279029317,-0.2776393888662842163132572781,-0.02337254122419314260511431580,3.830698771350833912341452574,0.4039629269565379442724073562
2019-09-28,2.464178125926858851883531357,True,,Grey Zone,original,,0.3632263443648610500193669947,-0.2736024579670564137577878296,0,3.375188322898189428659994133,0.3862369601039909139251974449
